STATION,NAME,DATE,DAPR,MDPR,MDSF,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WESD,WESF,WT01,WT03,WT04,WT05,WT06,WT11
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/1/2008,,,,0,0,0,49,32,42,,,,,,,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/2/2008,,,,0,0,0,52,26,27,,,,,,,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/3/2008,,,,0,0,0,35,21,21,,,,,,,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/4/2008,,,,0,0,0,31,17,18,,,,,,,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/5/2008,,,,0,0,0,39,18,24,,,,,,,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/6/2008,,,,0.2,0,0,42,24,39,,,,,,,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/7/2008,,,,0,0,0,54,39,52,,,,,,,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/8/2008,,,,0,0,0,70,50,53,,,,,,,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/9/2008,,,,0,0,0,71,53,62,,,,,,,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/10/2008,,,,0,0,0,66,34,35,,,,,,,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/11/2008,,,,0.23,0,0,51,35,42,,,,,,,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/12/2008,,,,0.1,0,0,57,35,40,,,,,,,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/13/2008,,,,0,0,0,51,29,30,,,,,,,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/14/2008,,,,0.03,0,0,47,29,39,,,,,,,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/15/2008,,,,0,0,0,44,27,30,,,,,,,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/16/2008,,,,0,0,0,36,30,31,,,,,,,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/17/2008,,,,0,0,0,41,30,33,,,,,,,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/18/2008,,,,0.84,0.8,1,36,31,32,,,,,,,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/19/2008,,,,0,0,0,48,32,32,,,,,,,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/20/2008,,,,0,0,0,39,20,20,,,,,,,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/21/2008,,,,0,0,0,24,16,22,,,,,,,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/22/2008,,,,0,0,0,29,20,28,,,,,,,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/23/2008,,,,0,0,0,40,28,35,,,,,,,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/24/2008,,,,0,0,0,44,25,26,,,,,,,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/25/2008,,,,0,0,0,40,20,21,,,,,,,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/26/2008,,,,0,0,0,34,21,27,,,,,,,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/27/2008,,,,0,0,0,37,21,37,,,,,,,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/28/2008,,,,0,0,0,42,29,35,,,,,,,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/29/2008,,,,0.03,0,0,45,29,35,,,,,,,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/30/2008,,,,0.04,0,0,56,29,50,,,,,,,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/31/2008,,,,0,0,0,50,26,29,,,,,,,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",2/1/2008,,,,0.61,0,0,43,29,36,,,,,,,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",2/2/2008,,,,1.65,0,0,48,31,32,,,,,,,,
